Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
1877,Southern Nazarene University ,,OK,,1,"Division of Cultural & Communication Studies, Division of Science & Mathematics, Department of Kinesiology, Division of Social & Behavioral Sciences, School of Business, School of Education, School of Music, School of Nursing, School of Theology & Ministry",1,1,1899,2110,17,,,http://home.snu.edu/dept/forms/hr/ppb4.pdf,
1878,Southern New Hampshire University ,,NH,,1,"SNHU School of Business, School of Arts & Sciences, SNHU School of Education",1,1,1932,7000,28.1,,,,
1879,Southern Oregon University ,,OR,,1,"College of Arts and Sciences, School of Business, School of Education",0,1,1872,4560,,,,http://www.sou.edu/policies/Conflict-of-interest-consensual-relationships.pdf,
1880,Southern Polytechnic State University ,,GA,,1,"The School of Architecture, Civil Engineering, Technology, and Construction, The School of Computing and Software Engineering, The School of Engineering Technology and Management, The School of Arts and Sciences, Division of Engineering, Extended University",0,1,1948,5500,,,,http://www.spsu.edu/hr/conflict_interest.html,
2144,Southern Research Station USDA Forest Service ,,,1,2,,,,,,,,,,
1881,Southern University and A&M College at Baton Rouge ,Southern University System.,LA,,1,"Agricultural, Family & Consumer Sciences, College of Arts & Humanities, College of Business, College of Education, College of Engineering, College of Sciences, Graduate School, Honors College, Nelson Mandela School of Public Policy and Urban Affairs, School of Architecture, School of Nursing, Air Force ROTC, Military Science Army ROTC, Naval Science Navy ROTC, eLearning Unit, Women's Initiative Project Center",0,2,1880,7313,9.6,,,,
1882,Southern University at New Orleans ,Southern University System.,LA,,1,"College of Arts and Sciences, College of Business and Public Administration, College of Education & Human Development, School of Social Work, School of Graduate Studies",0,1,1956,3165,,,0,http://www.suno.edu/Handbooks/Faculty_Handbook_12-22-10.pdf,
1883,Southern University at Shreveport ,Southern University System.,LA,,1,,0,1,1967,3014,,,,,
1884,Southern University System ,,LA,,1,"Southern University, Shreveport; Southern University, Baton Rouge; Southern University Agricultural Research and Extension Center; Southern University Law Center; Southern University, New Orleans",0,1,1880,13492,,,,,http://www.ethics.state.la.us/Pub/Laws/Title42Ch15.pdf
1885,Southern Utah University ,,UT,,1,"College of Computing, Integrated Engineering & Technology, College of Education and Human Development, College of Humanities & Social Sciences, College of Performing & Visual Arts, College of Science, School of Business, School of Continuing & Professional Studies",0,1,1897,7057,,,,http://www.suu.edu/pub/policies/pdf/PP57Conflicts.pdf,
1886,Southern Vermont College ,,VT,,1,"The McCormick Division of Business, The Hunter Division of Humanities, The Division of Nursing, The John Merck Division of Science and Technology, The Division of Social Sciences",1,1,1926,500,,,0,http://www.svc.edu/intranet/human_resources/policies_and_procedures/performance_and_conduct/5_4_conflict_of_interest.pdf,
1887,Southern Wesleyan University ,,SC,,1,"School of Business, Center for Transformational Learning, School of Education, Division of Fine Arts, Division of Humanities (Modern Languages), Personal Wholeness, Division of Religion, Science Division, Social Sciences Division",1,2,1906,2400,,,,,
1888,Southwest Baptist University ,,MO,,,,,,,,,,,,
1889,Southwest College of Naturopathic Medicine & Health Sciences ,,AZ,,,,,,,,,,,,
1890,Southwest Minnesota State University ,,MN,,,,,,,,,,,,
2164,Southwest Research Institute,,,1,2,,,2,,,,,,,
1891,Southwestern Adventist University ,,TX,,,,,,,,,,,,
1892,Southwestern Assemblies of God University ,,TX,,,,,,,,,,,,
1893,Southwestern Baptist Theological Seminary ,,TX,,,,,,,,,,,,
1894,Southwestern Christian College ,,TX,,,,,,,,,,,,
1895,Southwestern Christian University ,,OK,,,,,,,,,,,,
1896,Southwestern College ,,AZ,,,,,,,,,,,,
1897,Southwestern College ,,KS,,,,,,,,,,,,
1898,Southwestern College ,,NM,,,,,,,,,,,,
1899,Southwestern Oklahoma State University ,,OK,,,,,,,,,,,,
1900,Southwestern University ,,TX,,1,"The Brown College of Arts and Sciences,  The Sarofim School of Fine Arts",1,1,1840,1310,242,,,http://www.southwestern.edu/newsroom/finances/conflictofinterest.php,
2104,Space Telescope Science Institute ,,,1,2,,,,,,,,,,
1901,Spalding University ,,KY,,,,,,,,,,,,
1902,Spelman College ,,GA,,,,,,,,295,,,,
1903,Spertus Institute of Jewish Studies ,,IL,,,,,,,,,,,,
1904,Spring Arbor University ,,MI,,,,,,,,8.5,,,,
1905,Spring Hill College ,,AL,,,,,,,,,,,,
1906,Springfield College ,,MA,,,,,,,,40,,,,
2115,SRI International ,,,1,2,,,,,,,,,,
2076,Stanford Linear Accelerator Center ,,,1,1,,,,,,,,,http://dor.stanford.edu/Resources/coi.html,
1907,Stanford University ,,CA,1,1,"Stanford Graduate School of Business, Stanford University School of Earth Sciences, Stanford University School of Education, Stanford Engineering, Stanford University School of Humanities and Sciences, Stanford Law School,  Stanford School of Medicine",1,1,1891,18498,13800,$38000 million,1,http://www.stanford.edu/group/coi/policies/policies.html,
2368,Stanford University Centers and Institutes,,,,,,,,,,,,,,
2165,Stanford University School of Medicine,Stanford University,CA,,,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=5&ved=0CD0QFjAE&url=http%3A%2F%2Fmed.stanford.edu%2Fshs%2Fupdate%2Farchives%2FNOV2008%2Fcoi.pdf&rct=j&q=Texas%20Medical%20Center%20conflict%20of%20interest%20policy&ei=A-LqTeeyJZTUgQfd_pjZCQ&usg=AFQjCNHkg5wuTJ_y0hMvkWYBp2_7kddeeA&sig2=zcAdjRsqs7TeyaFEu7EGaw&cad=rja,http://www.stanford.edu/group/coi/policies/policies.html
1908,"State College of Florida, Manatee-Sarasota ",,FL,,,,,,,,,,,,
1909,State University of New York System ,,NY,,,,,,,,,,,,
2150,Statistics Canada ,,,1,2,,,,,,,,,,
1910,Stephen F. Austin State University ,,TX,,,,,,,,,,,,
1911,Stephens College ,,MO,,,,,,,,,,,,
1912,Sterling College ,,KS,,,,,,,,,,,,
1913,Sterling College ,,VT,,,,,,,,,,,,
1914,Stetson University ,,FL,,,,,,,,123,,,,
1915,Stevens Institute of Technology ,,NJ,,,,,,,,133.4,,,,
1916,Stevenson University ,,MD,,,,,,,,,,,,
1917,Stillman College ,,AL,,,,,,,,,,,,
1918,Stonehill College ,,MA,,,,,,,,127.6,,,,
1909,Stony Brook,,NY,,,,,,,,125.8,,,,
1919,Strayer University ,,DC,,,,,,,,,,,,
1920,Suffolk University ,,MA,,,,,,,,99.2,,,,
1921,Sul Ross State University ,,TX,,,,,,,,,,,,
1922,Sullivan University ,,KY,,,,,,,,,,,,
2108,Summer Institute of Linguistics ,,,1,2,,,,,,,,,,
1923,Susquehanna University ,,PA,,,,,,,,91.9,,,,
1924,Swarthmore College ,,PA,,,,,,,,1249.3,,,,
1925,Sweet Briar College ,,VA,,,,,,,,,,,,
1926,Syracuse University ,,NY,1,,"School of Architecture, The College of Arts and Sciences, School of Education, L.C. Smith College of Engineering and Computer Science, Graduate School, The College of Human Ecology, School of Information Studies, College of Law, The Martin J. Whitman School of Management, Maxwell School of Citizenship and Public Affairs, S.I. Newhouse School of Public Communications, College of Visual and Performing Arts",1,1,1870,20407,892.7,1103.4,2,http://supolicies.syr.edu/fac_teach/conflict_int_staff.htm,
678,Tabor College ,,KS,,,,,,,,,,,,
679,Tai Sophia Institute ,,MD,,,,,,,,,,,,
680,Talladega College ,,AL,,,,,,,,,,,,
681,Tarleton State University ,,TX,,,,,,,,,,,,
682,Taylor University ,,IN,,,,,,,,,,,,
683,TCM International Institute ,,IN,,,,,,,,,,,,
684,"Teachers College, Columbia University ",,NY,,,,,,,,,,,,
685,Temple University ,,PA,,,,,,,,,,,,
686,Tennessee State University ,,TN,,,,,,,,,,,,
687,Tennessee Technological University ,,TN,,,,,,,,,,,,
688,Tennessee Wesleyan College ,,TN,,,,,,,,,,,,
689,Texas A&M International University ,,TX,,,,,,,,,,,http://www.tamus.edu/offices/policy/policies/index.html,
690,Texas A&M University ,,TX,,,,,,,,,,,,
694,Texas A&M University Health Science Center ,,TX,,,,,,,,,,,,
691,Texas A&M University–Commerce ,,TX,,,,,,,,,,,,
692,Texas A&M University–Corpus Christi ,,TX,,,,,,,,,,,,
693,Texas A&M University–Galveston ,,TX,,,,,,,,,,,,
695,Texas A&M University–Kingsville ,,TX,,,,,,,,,,,,
696,Texas A&M University–Texarkana ,,TX,,,,,,,,,,,,
697,Texas Chiropractic College ,,TX,,,,,,,,,,,,
698,Texas Christian University ,,TX,,,,,,,,,,,http://www.hr.tcu.edu/303.htm,
699,Texas College ,,TX,,,,,,,,,,,,
700,Texas Lutheran University ,,TX,,,,,,,,,,,,
2093,Texas Medical Center ,,,1,2,,,,,,,,,,
701,Texas Southern University ,,TX,,,,,,,,,,,,
702,Texas State University–San Marcos ,,TX,,,,,,,,,,,,
703,Texas Tech University ,,TX,,,,,,,,,,,,
704,Texas Tech University Health Sciences Center ,,TX,,,,,,,,,,,,
705,Texas Wesleyan University ,,TX,,,,,,,,,,,,
706,Texas Woman's University ,,TX,,,,,,,,,,,,
1093,The Baptist College of Florida ,,FL,,,,,,,,,,,,
1244,The Catholic University of America ,,DC,,,,,,,,,,,,
1277,The Chicago School of Professional Psychology ,,IL,,,,,,,,,,,,
1289,The Citadel ,,SC,,,,,,,,,,,,
1325,The College of Idaho ,,ID,,,,,,,,,,,,
1329,The College of New Jersey ,,NJ,,,,,,,,,,,,
1343,The College of Wooster ,,OH,,,,,,,,,,,,
1379,The Cooper Union for the Advancement of Science & Art ,,NY,,,,,,,,,,,,
2313,The Institute for Bird Populations,,CA,,2,,1,0,,,,,,,
2317,The Institute for End User Computing,,NY,,2,,1,2,2002,,,,,,
2318,The Institute for Genomic Research,J. Craig Venter Institute,MD,,2,,1,0,1992,,,,,,
1464,The Jewish Theological Seminary of America ,,NY,,,,,,,,,,,,
1477,The Juilliard School ,,NY,1,,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CCAQFjAA&url=http%3A%2F%2Fintranet.juilliard.edu%2Fdepartments%2Ffinance-administration%2Fdocuments%2FconflictQuestionnaireStaff_2010.pdf&rct=j&q=the%20juilliard%20school%20conflict%20of%20interest%20policy&ei=oyfPTfDjOYnegQfDv6G9DA&usg=AFQjCNHZf4JXQpYdtPoZCsHlsVUyKLaIXQ&sig2=gCbux2mwz8NOhKqyzwLUhA&cad=rja,
406,The King's College ,,NY,,1,,1,1,1938,400,,,,staff.tkc.edu/Human%20Resources/Documents/staffhandbook.pdf,
456,The Master's College ,,CA,,1,,1,0,1927,1198,,,,,
457,The Master's Seminary ,,CA,,1,,1,0,1986,375,,,,,
1604,The New School ,,NY,,1,"The New School for General Studies, The New School for Social Research, Milano The New School for Management and Urban Policy, Parsons The New School for Design, Eugene Lang College The New School for Liberal Arts, Mannes College The New School for Music, The New School for Drama, The New School for Jazz and Contemporary Music",1,1,1919,9800,200,,,www.newschool.edu/WorkArea/DownloadAsset.aspx?id=36711,
660,The Rockefeller University ,,NY,,1,,1,only accessible from the Rockefeller University on-campus network,1901,195,1.53 billion,only accessible from the Rockefeller University on-campus network,,,
1726,The Sage Colleges ,,NY,,,,,,,,,,,,
715,The Thomas More College of Liberal Arts ,,NH,,,,,,,,,,,,
841,The University of Findlay ,,OH,,,,,,,,,,,,
1080,The Wright Institute ,,CA,,,,,,,,,,,,
707,Thiel College ,,PA,,,,,,,,,,,,
708,Thomas Aquinas College ,,CA,,,,,,,,,,,,
710,Thomas College ,,ME,,,,,,,,,,,,
711,Thomas Edison State College ,,NJ,,,,,,,,,,,,
2105,Thomas Jefferson Lab National Accelerator Facility ,,,1,2,,,,,,,,,,
712,Thomas Jefferson University ,,PA,,,,,,,,,,,,
713,Thomas M. Cooley Law School ,,MI,,,,,,,,,,,,
714,Thomas More College ,,KY,,,,,,,,,,,,
709,Thomas University ,,GA,,,,,,,,,,,,
716,Thunderbird School of Global Management ,,AZ,2,,,,,,,,,,,
717,Tiffin University ,,OH,,,,,,,,,,,,
718,Toccoa Falls College ,,GA,,,,,,,,,,,,
719,Tougaloo College ,,MS,,,,,,,,,,,,
720,Touro College ,,NY,,,,,,,,,,,,
721,Touro College Los Angeles ,,CA,,,,,,,,,,,,
722,Touro University California ,,CA,,,,,,,,,,,,
723,Towson University ,,MD,,,,,,,,,,,,
724,Toyota Technological Institute at Chicago ,,IL,,,,,,,,,,,,
2102,Transportation Research Board ,,,1,2,,,,,,,,,,
725,Transylvania University ,,KY,,,,,,,,,,,,
726,Trevecca Nazarene University ,,TN,,,,,,,,,,,,
727,Trident University International ,,CA,,,,,,,,,,,,
728,Trine University ,,IN,,,,,,,,,,,,
729,Trinity Bible College ,,ND,,,,,,,,,,,,
730,Trinity Christian College ,,IL,,,,,,,,,,,,
731,Trinity College ,,CT,,,,,,,,,,,,
734,Trinity College of Florida ,,FL,,,,,,,,,,,,
732,Trinity College of Nursing & Health Sciences ,,IL,,,,,,,,,,,,
735,Trinity International University ,,IL,,,,,,,,,,,,
736,Trinity Lutheran College ,,WA,,,,,,,,,,,,
733,Trinity University ,,DC,,,,,,,,,,,,
737,Trinity University ,,TX,,,,,,,,,,,,
738,Troy University ,,AL,,,,,,,,,,,,
739,Truett-McConnell College ,,GA,,,,,,,,,,,,
740,Truman State University ,,MO,,,,,,,,,,,,
741,Tufts University ,,MA,,,"School of Arts and Sciences, School of Engineering, Cummings School of Veterinary Medicine, School of Dental Medicine, The Fletcher School, Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy, School of Medicine, Sackler School of Graduate Biomedical Science, Jonathan M. Tisch College of Citizenship and Public Service",1,1,1852,"9,273 (5,111 undergrads and 4,162 graduates)",1.5 billion (2007),682.6 million,2,http://finance.tufts.edu/?pid=30,
742,Tulane University ,,LA,,2,"School of Liberal Arts, School of Medicine, School of Law, School of Public Health and Tropical Medicine, School of Social Work, School of Science and Engineering, School of Architecture, A.B. Freeman School of Business",1,1,1834,"12,622 (7,803 undergrad and 4,819 graduate)",888.5 million (2010),580 million,,http://tulane.edu/asvpr/ora/coi.cfm,
743,Turtle Mountain Community College ,,ND,,,,,,,,,,,,
744,Tusculum College ,,TN,,,,,,,,,,,,
745,Tuskegee University ,,AL,,,,,,,,,,,,
746,Unification Theological Seminary ,,NY,,,,,,,,,,,,
747,Uniformed Services University of the Health Sciences ,,MD,,,,,,,,,,,,
748,Union College ,,KY,,,,,,,,,,,,
749,Union College ,,NE,,,,,,,,,,,,
750,Union College ,,NY,,,,,,,,,,,,
751,Union Institute & University ,,OH,,,,,,,,,,,,
752,Union Theological Seminary ,,NY,,,,,,,,,,,,
753,Union University ,,TN,,,,,,,,,,,,
754,United States Air Force Academy ,,CO,1,3,,0,2,1955,4417,,,,,
755,United States Army Command & General Staff College ,,KS,,,,,,,,,,,,
756,United States Army War College ,,PA,,,,,,,,,,,,
757,United States Coast Guard Academy ,,CT,,,,,,,,,,,,
758,United States Marine Corps University ,,VA,,,,,,,,,,,,
759,United States Merchant Marine Academy ,,NY,,,,,,,,,,,,
760,United States Military Academy ,,NY,,,,,,,,,,,,
761,United States Naval Academy ,,MD,,,,,,,,,,,,
2131,United States Naval Observatory ,US Military,,1,3,,,,,,,,,,http://www.dtic.mil/whs/directives/corres/pdf/550007p.pdf
762,United States Naval War College ,,RI,,,,,,,,,,,,
763,United States Sports Academy ,,AL,,,,,,,,,,,,
764,United States University ,,CA,,,,,,,,,,,,
765,United Theological Seminary of the Twin Cities ,,MN,,,,,,,,,,,,
766,Unity College ,,ME,,,,,,,,,,,,
767,Universidad Central de Bayamón ,,PR,,,,,,,,,,,,
768,Universidad Central del Caribe ,,PR,,,,,,,,,,,,
1843,Universidad del Este,,PR,,,,,,,,,,,,
769,Universidad del Sagrado Corazón ,,PR,,,,,,,,,,,,
1843,Universidad del Turabo,,PR,,,,,,,,,,,,
770,Universidad Interamericana de Puerto Rico ,,PR,,,,,,,,,,,,
1843,Universidad Metropolitana,,PR,,,,,,,,,,,,
2099,Universities Space Research Association ,,,1,2,,,,,,,,,,
2079,University Corporation for Atmospheric Research ,,,1,2,,,,,,,,,http://www.fin.ucar.edu/ethics/coi_policy.html,
779,University of Advancing Technology ,,AZ,,,,,,,,,,,,
780,University of Akron ,,OH,,,,,,,,,,,,
781,University of Alabama ,,AL,1,1,"College of Arts and Sciences, Manderson Graduate School of Business, College of Education, College of Engineering, Capstone College of Nursing, College of Communication and Information Sciences",0,1,1831,"30,232 total students",796.5 million,603 million (2007),,http://docs.google.com/viewer?a=v&q=cache:gMlYjk9sZcMJ:ott.ua.edu/forms/COI%2520Policy.pdf+conflict+of+interest+policy&hl=en&gl=us&pid=bl&srcid=ADGEESjkbN-Eqq64LKO0z7SQh9Tthry97DJLoHBx9U42Zzn7rz5XnCcRURYC3VYAffhE5GbQRFuHeywRz50DlrYV7lTaMi0a0RbBm8RE5zjOODqaMPSKj19BeMboZMoIDF8iPmIaEBAQ&sig=AHIEtbSsJ92-N-VjihoPTVvBO9d9UrLjeg&pli=1,
782,University of Alabama–Birmingham ,,AL,1,,,,,,,,,,http://search.uab.edu/search?q=cache:hJBf8VnmeVYJ:www.iss.uab.edu/Pol/ConflictInterestCtab.pdf+conflict+of+interest&site=default_collection&client=frontdoor_frontend&access=p&ie=UTF-8&proxystylesheet=frontdoor_frontend&output=xml_no_dtd&oe=ISO-8859-1,
783,University of Alabama–Huntsville ,,AL,1,1,"Business, Engineering, Liberal Arts, Nursing, Science",0,1,1969,7400 total (5900 undergrad and 1500 graduate),16.9 million,,,http://docs.google.com/viewer?a=v&q=cache:mMq2H43cHdAJ:www.uah.edu/legal/pdf_files/Outside%2520Consulting%2520at%2520UAHuntsville.pdf+conflict+of+interest+policy&hl=en&gl=us&pid=bl&srcid=ADGEEShQVhrMzAFrDbIWpzaHkPL1axwpJZZVJJaQZCK8TMtAeEqNtxB1E0Am_WiOn_EtKg6RwZ7NLRjUG-X0Gsk8I6NA0ZirNf5mi2_m2k-jxl5EzksrJsprOvwADgnSYAQ0iHg83YNM&sig=AHIEtbRDnei2eSvHcOReMqrsUPRSAChSpQ&pli=1,http://docs.google.com/viewer?a=v&q=cache:gMlYjk9sZcMJ:ott.ua.edu/forms/COI%2520Policy.pdf+conflict+of+interest+policy&hl=en&gl=us&pid=bl&srcid=ADGEESjkbN-Eqq64LKO0z7SQh9Tthry97DJLoHBx9U42Zzn7rz5XnCcRURYC3VYAffhE5GbQRFuHeywRz50DlrYV7lTaMi0a0RbBm8RE5zjOODqaMPSKj19BeMboZMoIDF8iPmIaEBAQ&sig=AHIEtbSsJ92-N-VjihoPTVvBO9d9UrLjeg&pli=1
784,University of Alaska System ,,AK,1,,"UA Anchorage, UA Fairbanks, UA Southeast",0,1,1917,33000,198.6 million,,,http://search.alaska.edu/search?q=cache:XxY0QSD-m_oJ:www.alaska.edu/bor/policy/04-10.doc+conflict+of+interest+policy&client=www_alaska_edu_frontend&proxystylesheet=www_alaska_edu_frontend&output=xml_no_dtd&site=collection_www_alaska_edu&ie=UTF-8&access=p&oe=UTF-8,
799,University of Arizona ,,AZ,1,,,,,,,,,,,
800,University of Arkansas ,,AR,1,,,,,,,,,,,
803,University of Arkansas for Medical Sciences ,,AR,1,,,,,,,,,,,
806,University of Arkansas System ,,AR,1,,,,,,,,,,,
801,University of Arkansas–Fort Smith ,,AR,1,,,,,,,,,,,
802,University of Arkansas–Little Rock ,,AR,1,,,,,,,,,,,
804,University of Arkansas–Monticello ,,AR,1,,,,,,,,,,,
805,University of Arkansas–Pine Bluff ,,AR,1,,,,,,,,,,,
807,University of Baltimore ,,MD,,,,,,,,,,,,
808,University of Bridgeport ,,CT,,,,,,,,,,,,
811,University of California Hastings College of the Law ,,CA,1,,,,,,,,,,,
820,University of California System ,,CA,1,,,,,,,,,,,
809,University of California–Berkeley ,,CA,1,,,,,,,,,,http://www.ucop.edu/ogc/coi/coitoc.html,
810,University of California–Davis ,,CA,1,,"4 colleges (Agricultural and Environmental Sciences, Biological Sciences, Engineering, Letters and Science) and 6 professional schools (Education, Law, Management, Medicine, Veterinary Medicine, and the Betty Irene Moore School of Nursing) ",0,1 (School of Medicine received an A from the American Medical Student Association for having one of the best conflict of interest policies),1905,"32,290 (fall 2010) ",$630.5 million (2010),,0,http://www.ucop.edu/ogc/coi/coitoc.html,
812,University of California–Irvine ,,CA,1,,,,,,,,,,http://www.ucop.edu/ogc/coi/coitoc.html,
813,University of California–Los Angeles ,,CA,1,,"Undergraduate, School of Medicine, School of Law, School of Public Health, School of Nursing, Dentistry, Education, Music",0,1 (School of Medicine received an A from the American Medical Student Association for having one of the best conflict of interest policies),1919,"40,000 total (27,000 undergraduates; 13,000 graduates)", Net $1.3 Billion (2010),$900 million (expected for 2011-12) Note: includes a $50 million spending cut),0,http://www.ucop.edu/ogc/coi/coitoc.html,
814,University of California–Merced ,,CA,1,,,,,,,,,,,
815,University of California–Riverside ,,CA,1,,,,,,,,,,,
816,University of California–San Diego ,,CA,1,,,0,1,1960,"23,143 undergrad and 4,274 graduate",,,,http://research.ucsd.edu/industry/faculty/coi.htm,
817,University of California–San Francisco ,,CA,1,,,,,,,,,,,
818,University of California–Santa Barbara ,,CA,1,,,,,,,,,,,
819,University of California–Santa Cruz ,,CA,1,,,,,,,,,,http://www2.ucsc.edu/research/compliance/irb_coi.shtml,
821,University of Central Arkansas ,,AR,1,,,,,,,,,,,
822,University of Central Florida ,,FL,,,,,,,,,,,,
823,University of Central Missouri ,,MO,,,,,,,,,,,,
824,University of Central Oklahoma ,,OK,,,,,,,,,,,,
825,University of Charleston ,,WV,,,,,,,,,,,,
826,University of Chicago ,,IL,,,,,,,,,,,,
827,University of Cincinnati ,,OH,,,,,,,,,,,,
831,University of Colorado System ,,CO,1,,,,,,,,,,,
828,University of Colorado–Boulder ,,CO,1,,,0,1,,,,,,http://www.colorado.edu/VCResearch/integrity/coic/policy.html,
829,University of Colorado–Colorado Springs ,,CO,1,,,,,,,,,,,
830,University of Colorado–Denver ,,CO,1,,,,,,,,,,,
832,University of Connecticut ,,CT,1,,,,,,,,,,,
833,University of Dallas ,,TX,,,,,,,,,,,,
834,University of Dayton ,,OH,,,,,,,,,,,,
835,University of Delaware ,,DE,,,,,,,,,,,,
836,University of Denver ,,CO,1,,,1,1,1864,,,,,http://www.du.edu/orsp/conflict.html,
838,University of Detroit Mercy ,,MI,,,,,,,,,,,,
839,University of Dubuque ,,IA,,,,,,,,,,,,
840,University of Evansville ,,IN,,,,,,,,,,,,
842,University of Florida ,,FL,,,,0,1,,,,,,http://www.generalcounsel.ufl.edu/regulations/,
843,University of Georgia ,,GA,,,,0,1,,,,,,http://webcache.googleusercontent.com/u/universityofgeorgia?domains=uga.edu&sitesearch=uga.edu&hl=en&q=cache:wYIY5Or-pDEJ:http://www.ovpr.uga.edu/docs/policies/research/Conflicts-of-Interest.pdf+conflict+of+interest+policy&ct=clnk,
844,University of Great Falls ,,MT,,,,,,,,,,,,
845,University of Guam ,,GU,,,,,,,,,,,,
846,University of Hartford ,,CT,,,,,,,,,,,,
849,University of Hawaii System ,,HI,,,,,,,,,,,,
847,University of Hawaii–Hilo,,HI,,,,,,,,,,,,
848,University of Hawaii–Manoa,,HI,,,,,,,,,,,,
850,University of Hawaii–West O'ahu,,HI,,,,,,,,,,,,
851,University of Houston ,,TX,,,,,,,,,,,,
852,University of Houston–Clear Lake ,,TX,,,,,,,,,,,,
853,University of Houston–Downtown ,,TX,,,,,,,,,,,,
854,University of Houston–Victoria ,,TX,,,,,,,,,,,,
855,University of Idaho ,,ID,,,,,,,,,,,,
858,University of Illinois System ,,IL,,,,,,,,,,,,
856,University of Illinois–Chicago ,,IL,,,,0,1,,,,,,http://tigger.uic.edu/depts/ovcr/research/conflict/RNUA/policy/index.shtml,
857,University of Illinois–Springfield ,,IL,,,,,,,,,,,,
859,University of Illinois–Urbana-Champaign ,,IL,,,,,,,,,,,,
860,University of Indianapolis ,,IN,,,,,,,,,,,,
861,University of Iowa ,,IA,,,,,,,,,,,,
862,University of Kansas ,,KS,,,,0,1,,,,,,https://documents.ku.edu/policies/provost/CommitmentofTimeConflictofInterest.htm,
863,University of Kansas Medical Center ,,KS,,,,,,,,,,,,
864,University of Kentucky ,,KY,,,,,,,,,,,http://www.research.uky.edu/ospa/coi.html,http://grants.nih.gov/grants/policy/coi/index.htm
865,University of La Verne ,,CA,,,,,,,,,,,,
867,University of Louisiana–Lafayette ,,LA,,,,,,,,,,,,
866,University of Louisiana–Monroe ,,LA,,,,,,,,,,,,
868,University of Louisville ,,KY,,,,,,,,,,,,
869,University of Maine ,,ME,,,,,,,,,,,,
875,University of Maine School of Law ,,ME,,,,,,,,,,,,
876,University of Maine System ,,ME,,,,,,,,,,,,
870,University of Maine–Augusta ,,ME,,,,,,,,,,,,
871,University of Maine–Farmington ,,ME,,,,,,,,,,,,
872,University of Maine–Fort Kent ,,ME,,,,,,,,,,,,
873,University of Maine–Machias ,,ME,,,,,,,,,,,,
874,University of Maine–Presque Isle ,,ME,,,,,,,,,,,,
877,University of Mary ,,ND,,,,,,,,,,,,
878,University of Mary Hardin-Baylor ,,TX,,,,,,,,,,,,
879,University of Mary Washington ,,VA,,,,,,,,,,,,
880,University of Maryland–Baltimore,,MD,,,,0,1,,,,,,http://www.usmd.edu/regents/bylaws/SectionIII/III111.html,
881,University of Maryland–Baltimore County,,MD,,,,,,,,,,,,
882,University of Maryland–College Park,,MD,,,,,,,,,,,,
883,University of Maryland–Eastern Shore,,MD,,,,,,,,,,,,
884,University of Maryland–University College,,MD,,,,,,,,,,,,
889,University of Massachusetts Medical School at Worcester ,,MA,,,,,,,,,,,,
890,University of Massachusetts System ,,MA,,,,,,,,,,,,
885,University of Massachusetts–Amherst ,,MA,,,,,,,,,,,,
886,University of Massachusetts–Boston ,,MA,,,,,,,,,,,,
887,University of Massachusetts–Dartmouth ,,MA,,,,,,,,,,,,
888,University of Massachusetts–Lowell ,,MA,,,,,,,,,,,,
891,University of Medicine & Dentistry of New Jersey ,,NJ,,,,,,,,,,,,
892,University of Memphis ,,TN,,,,0,1,,,,,,http://policies.memphis.edu/UM1692.htm,
893,University of Miami ,,FL,,,,1,1,,,,,,https://eprost.med.miami.edu/Eprost/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[72347FDA5F1C0B4983995699DDA2F725]],
894,University of Michigan ,,MI,,,,0,1,,,,,,http://www.drda.umich.edu/policies/um/coi/policies.html,
895,University of Michigan–Dearborn ,,MI,,,,0,1,,,,,,http://www.umd.umich.edu/383901/,
896,University of Michigan–Flint ,,MI,,,,0,1,,,,,,http://www.umflint.edu/hr/COI-COC_Policy.htm,
897,University of Minnesota–Crookston ,,MN,,,,,,,,,,,,
898,University of Minnesota–Duluth ,,MN,,,,,,,,,,,,
899,University of Minnesota–Morris ,,MN,,,,,,,,,,,,
900,University of Minnesota–Twin Cities ,,MN,,,,,,,,,,,,
901,University of Mississippi ,,MS,,,,0,1,,,,,1,http://www.ethics.state.ms.us/ethics/ethics.nsf/webpage/A_ethics_in_govt_art_2?OpenDocument,
902,University of Mississippi Medical Center ,,MS,,,,0,1,,,,,,http://docs.google.com/viewer?a=v&q=cache:DbpoQJokWbwJ:dor.umc.edu/RT/policies/Conflictofinterest.doc+conflict+of+interest+policy&hl=en&gl=us&pid=bl&srcid=ADGEESjuClpW1rRiy4zrdnNv0rywf6sBL60LD2Mq99LWBz71jNQJXG96WvvFOI4pp0ncNrmD1dfMQyH4Q6ewo4Qe7JvCz8R2Z9qbh4KcSpEk_tfgVevXux0biy0bwuBGi9TQ6q07vHpZ&sig=AHIEtbSL42bVbQbhkpPbEfDLyWc60B510g,
